"1","3/7/2015","","50","Leica","Noctilux","Leica M","","5799","Storage","3814942","",""
".95","","","50","Leica","Noctilux-M 1:0.95/50 ASPH","Leica M","","11000","NYC","4094853","","Willoughby's"
"1.5","","","50","Leica","Summarit 50mm f1.5","Leica Screw","","439","Storage","1027511","",""
"2","5/27/2019","","50","Leica","Summicron 50mm","Leica Screw","","550","NYC","1267301","",""
"2","1/25/2017","","35","Leica","Summicron-M 1:2/35 ASPH","Leica M","","2995","Montecito","4668488","",""
"1.4","","","50","Leica","Summilux-M 1:1.4/50 ASPH","Leica M","","3700","Storage","4102477","",""
"2","Jun 22, 2012","","50","Leica","Summitar 1:2/50","Leica Screw","","250","NYC","933954","",""
"2.5","Willoughby's","","70","Leica","Summarit-S 1:2.5/70 ASPH","Leica S2","","5995","NYC","4094541","","Willoughby's"
"2","","","75","Leica","APO-Summicron-M 1:2/75 ASPH","Leica M","","4000","NYC","4077003","",""
"2.5","","","75","Leica","Summarit-M 1:2.5/75","Leica M","","1600","Storage","4058369","",""
"2.8","4/27/2016","","90","Leica","90-280mm f/2.8-4 APO-Vario-Elmarit-SL","Leica SL","280","6395","NYC","04570549","",""
"2","","","90","Leica","90mm f/2 APO-SUMMICRON-M ASPH","Leica M","","3700","Storage","3994773","",""
"2","B&H","","90","Leica","APO-Summicron-M 1/2:90 ASPH","Leica M","","4000","NYC","4227268","",""
"2.5","","","120","Leica","APO-Summarit-S 1:2.5/120","Leica S2","","6994","NYC","4098526","","Willoughby's"
"3.5","Willoughby's","","180","Leica","APO-Elmar-S 1:3.5 180mm","Leica S2","","8495","NYC","4103263","","Willoughby's"
"2.8","","","180","Leica","Elmarit-R 1:2.8/180","Leica R","","800","NYC","3644816","",""
"1.5","","","50","Leica","Summarit 1.5/50","Leica Screw","","475","Carpinteria","","",""
"2","1/27/2021","","50","Leica","Summicron-M 1:2/50 Titanium","Leica M","","3056","Carpinteria","3915374","","eBay"
"2","","","50","Leitz Canada","Summicron-R 1:2/50","Leica R","","1300","NYC","2923159","",""
"2.8","","","135","Leitz Canada","Elmarit 1:2.8/135","Leica M","","419","Truckee","2872944","",""
"2","Jan 11, 2013","","40","Leitz Wetzlar","40mm f2 Summicron-C","Leica M","","750","NYC","2708411","",""
"2.8","Aug 2, 2012","","50","Leitz Wetzlar","Elmar 1:2.8/50","Leica Screw","","150","NYC","1669874","",""
"3.5","","","50","Leitz Wetzlar","Elmar 50mm 1:3.5","Leica Screw","","559","Carpinteria","","",""
"1.4","","","80","Leitz Wetzlar","Summilux-R 1:1.4/80","Leica R","","900","NYC","3055811","",""
"2.8","","","90","Leitz Wetzlar","Elmarit-R 1:2.8/90","Leica R","","800","NYC","2170996","",""
"2","1/15/2021","","50","Leitz Wetzlar","Summicron-R 1:2 / 50","Leica R","","524","Montecito","2205390","",""
"1.8","9/7/2022","","35","Lumix","35mm f1.8","Leica SL","","697","Carpinteria","XK2EA201064","","B&H"
"1.8","9/7/2022","","24","Lumix","24mm f1.8","Leica SL","","849","Carpinteria","XJ1SA201397","","B&H"
"4","9/7/2022","","24","Lumix","24 - 105 F4","Leica SL","105","906","Carpinteria","XF2FH201373","","B&H"
"2.8","Aug 2, 2012","","45","Mamiya","2.8/45","Mamiya 645","","245","NYC","28670","",""
"4","","","50","Mamiya","Mamiya 6 50mm L f4.0","Mamiya 6","","599","Storage","","",""
"4.5","Jun 27, 2012","","55","Mamiya","55-110mm 1:4.5 N","Mamiya 645","110","369","NYC"," 21860","",""
"2.8","Jun 25, 2012","","55","Mamiya","Mamiya-Sekor 55mm 1:2.8N","Mamiya 645","","300","NYC","508108","","Adorama"
"2.8","Aug 1, 2012","","80","Mamiya","1:2.8 N 80mm","Mamiya 645","","200","Storage","","","Victory Camera"
"2.8","Aug 27, 2012","","80","Mamiya","AF 80mm 1:2.8","Mamiya 645","","649","NYC","","",""
"1.9","Jul 2, 2012","","80","Mamiya","Mamiya 80mm f/1.9 Sekor C","Mamiya 645","","324","NYC","103519","",""
"2.8","Jun 25, 2012","","80","Mamiya","Mamiya-Sekor 1:2.8/80","Mamiya 645","","320","NYC","141877","",""
"2.8","Jul 14, 2012","","80","Mamiya","Sekor C 1:2.8 80mm","Mamiya 645","","329","Storage","142310","",""
"3.5","Jul 15, 2012","","100","Mamiya","Mamiya-Sekor 100mm f/3.5","Mamiya Universal","","100","Storage","21153","",""
"3.5","Jun 27, 2012","","150","Mamiya","150mm f/3.5N 645pro","Mamiya 645","","99","NYC","41811 ","",""
"3.5","Aug 27, 2012","","150","Mamiya","645 AF 150mm 1:3.5 ","Mamiya 645","","345","NYC","","",""
"4.5","","","150","Mamiya","Mamiya 6 G 1:4.5 150mmL","Mamiya 6","","248","Storage","","",""
"2","","","40","Minolta","M-Rokkor-QF 1:2 40mm","Leica M","","700","NYC","1017362","",""
"1","6/11/2020","","50","MS Optical","50mm F1,0","Leica M","","1600","NYC","","",""
"1.2","1/26/2021","","55","Nikkor","Ai 55mm f1.2","Nikon MF","","134","Montecito","","",""
"1.4","10/19/2021","","85","Nikkor","85mm 1:1.4","Nikon MF","","600","Montecito","234280","","eBay"
"2.8","","","14","Nikon","AF-S-NIKKOR 14-24mm f/2.8 G ED","Nikon AF","24","1999","Storage","US 288648","",""
"4","","","16","Nikon","AF-S Nikkor 16-35mm 1:4G ED N","Nikon AF","35","1150","NYC","235885","","Willoughby's"
"2.8","Aug 11, 2012","","20","Nikon","Nikkor 20mm f/2.8","Nikon MF","","450","Storage","220412","","Adolph Gasser"
"2.8","","","20","Nikon","Nikkor AF 20mm 1:2.8 D","Nikon AF","","286","Storage","","",""
"2.8","11/14/2017","","24","Nikon","AF-S Nikkor 24-70mm 1:2.8E ED VR N","Nikon AF","70","2315","NYC","2089964","","Amazon"
"2.8","","","24","Nikon","Nikon AF-S 24-70mm f/2.8 G ED","Nikon AF","70","1796","Storage","US 398807","",""
"1.4","Jan 18, 2013","","28","Nikon","AF Nikkor 28mm 1:1.4 D","Nikon AF","","2300","NYC","202536","",""
"1.4","2/14/2018","","28","Nikon","AF-S NIKKOR 28mm 1:1.4 E ED N","Nikon AF","","1899","NYC","203815","","Amazon"
"3.5","","","28","Nikon","Nikkor 24-120 f3.5-5.6 G ED","Nikon AF","120","695","Storage","US 5000684","",""
"2","","","28","Nikon","Nikkor 28mm f1:2","Nikon MF","","499","NYC","584023","",""
"1.4","","","35","Nikon","AF-S Nikkor 35mm 1:1.4G N","Nikon AF","","1620","NYC","US607556","",""
"1.4","1/9/2013","","50","Nikon","AF-S Nikkor 50mm 1:1.4 G","Nikon AF","","300","Storage","5529277","",""
"1.4","","","50","Nikon","AF-S Nikkor 50mm 1:1.4 G","Nikon AF","","350","NYC","US626987","",""
"1.4","","","50","Nikon","Nikkor 50mm 1:1.4","Nikon MF","","459","Storage","","",""
"1.4","","","50","Nikon","Nikkor 50mm 1:1.4","Nikon MF","","459","NYC","5529277","",""
"1.4","","","50","Nikon","Nikkor-S 50mm 1:1.4","Nikon S","","459","NYC","378859","",""
