"Boncompain, Pierre","6/1/2014","49 x 38","","Painting: Oil on Canvas","","YM","25000","Storage","Le Patchwork","Franklin Bowles Gallery","","Own"
"Boncompain, Pierre","6/1/2014","39 x 28","","Painting: Oil on Canvas","","YM","25000","Storage","Pensees au tapis Persan","Franklin Bowles Gallery","","Own"
"Boroniec, Michael","4/11/2017","20 x 10","","Ceramic","","YM","8600","Carpinteria","Ribbon White II, VI","Lyons Wier Gallery","2017","Own"
"Boroniec, Michael","4/11/2017","20 x 10","","Ceramic","","YM","8600","NYC","Ribbon White II, VI","Lyons Wier Gallery","2017","Own"
"Bortolazzo, Ken","10/23/2021","22.5 x 5","","Stainless Steel","","YM","4750","Carpinteria","Flower","Sullivan Goss","2021","Own"
"Botero, Fernando","4/18/2022","31 x 67 x 30","","Bronze","","YM","510000","Carpinteria","El sueño","Restrepo Acevedo","1980","Own"
"Brady, Robert","1/29/2015","","","Sculpture: Stone","","YM","2800","Truckee","Cold Blood","Stremmel Gallery","","Own"
"Brady, Robert","1/29/2015","","","Sculpture: Stone","","YM","5500","Truckee","Language Series #156","Stremmel Gallery","2013","Own"
"Brady, Robert","1/29/2015","","","Sculpture: Stone","","YM","7500","Truckee","Language Series #5","Stremmel Gallery","","Own"
"Brady, Robert","1/29/2015","","","Sculpture: Stone","","YM","3800","Truckee","Pendleton","Stremmel Gallery","","Own"
"Braque, Georges","","27 x 34","","","","Mark","","Storage","","","","Own"
"Braque, Georges","1/11/2005","25.5 x 30","","Wood Engraving","","Mark","9500","Carpinteria","Bouteille A l'Encre","Galerie Maximillian, Aspen","","Own"
"Brommel, Dirk","4/29/2015","200cm x 50cm","","Photography","","YM","1400","Storage","DBR05","Lumas","","Own"
"Brommel, Dirk","4/29/2015","200cm x 50cm","","Photography","","YM","1400","Storage","DBR09","Lumas","","Own"
"Buller, Philip","9/21/2016","68 x 80","Master Study","Painting: Oil on Linen","","YM","34000","Dolby Chadwick","Shallow Water","Dolby Chadwick Gallery","2012","Own"
"Buller, Philip","3/10/2017","62 x 52.75","","Painting: Oil on Paper","$14,400","YM","12600","Dolby Chadwick","Space in the Crowd","Dolby Chadwick Gallery","2017","Consigned"
"Buller, Philip","9/29/2020","72"" x 96""","","Oil on linen","","YM","48000","Carpinteria","Through line","Dolby Chadwick Gallery","2020","Own"
"Capels, G","","","","Sculpture: Stone","","YM","","Ghent: Glass House","","","1968","Own"
